# ----------------------------------------
# <REDACTED>
# Browser & OS
# 20130610-20140610
# ----------------------------------------

Screen Resolution,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
10/17/13,"83,507"
10/18/13,"68,733"
10/19/13,"41,393"
10/20/13,"57,167"
10/21/13,"97,313"
10/22/13,"89,984"
10/23/13,"85,759"
10/24/13,"77,773"
10/25/13,"64,101"
10/26/13,"43,472"
10/27/13,"54,167"
10/28/13,"91,871"
10/29/13,"90,528"
10/30/13,"83,294"
10/31/13,"75,026"
11/1/13,"67,811"
11/2/13,"47,174"
11/3/13,"59,859"
11/4/13,"101,220"
11/5/13,"99,145"
11/6/13,"96,397"
11/7/13,"87,388"
11/8/13,"72,908"
11/9/13,"49,441"
11/10/13,"58,496"
11/11/13,"100,720"
11/12/13,"98,295"
11/13/13,"93,398"
11/14/13,"87,434"
11/15/13,"72,855"
11/16/13,"48,340"
11/17/13,"60,416"
11/18/13,"102,039"
11/19/13,"99,787"
11/20/13,"95,008"
11/21/13,"86,510"
11/22/13,"70,996"
11/23/13,"45,472"
11/24/13,"56,889"
11/25/13,"94,440"
11/26/13,"93,570"
11/27/13,"89,223"
11/28/13,"79,235"
11/29/13,"64,150"
11/30/13,"42,790"
12/1/13,"52,173"
12/2/13,"88,004"
12/3/13,"88,402"
12/4/13,"81,969"
12/5/13,"75,431"
12/6/13,"60,731"
12/7/13,"41,219"
12/8/13,"49,171"
12/9/13,"84,425"
12/10/13,"79,801"
12/11/13,"73,220"
12/12/13,"65,344"
12/13/13,"56,739"
12/14/13,"36,242"
12/15/13,"43,454"
12/16/13,"71,152"
12/17/13,"68,741"
12/18/13,"63,239"
12/19/13,"56,422"
12/20/13,"46,039"
12/21/13,"32,715"
12/22/13,"33,083"
12/23/13,"41,716"
12/24/13,"28,095"
12/25/13,"18,811"
12/26/13,"30,525"
12/27/13,"41,827"
12/28/13,"38,019"
12/29/13,"41,718"
